bairro,media_bairro
Bedford-Stuyvesant,117.5805124368805
Williamsburg,154.55136486768077
Harlem,130.15334773218143
Bushwick,93.92253948967193
Midtown,298.06284153005464
Hell's Kitchen,210.85733835100925
Upper West Side,211.55987283645354
Upper East Side,210.4291296625222
East Village,196.64720920323816
Crown Heights,133.59666080843584
Chelsea,259.3556763285024
East Harlem,133.8062827225131
Greenpoint,172.80709219858156
Lower East Side,202.06428571428572
Astoria,115.70200333889817
Washington Heights,101.0928093645485
Financial District,256.98025134649913
West Village,281.922
Flatbush,110.46892039258451
East Flatbush,117.62910284463895
Murray Hill,240.9939975990396
Long Island City,138.7619647355164
Prospect-Lefferts Gardens,115.47334200260077
Clinton Hill,187.53916449086162
Kips Bay,204.22283356258598
Park Slope,191.9765395894428
Flushing,102.87730061349693
Fort Greene,156.79475308641975
Ridgewood,90.27158555729984
Chinatown,179.96985815602838
Sunset Park,117.22909090909091
Theater District,275.40555555555557
SoHo,358.2984496124031
Sunnyside,98.04500978473581
Gramercy,222.88339920948616
East New York,123.15822784810126
Greenwich Village,284.86081370449676
Woodside,92.96674057649668
Prospect Heights,198.01565995525726
Ditmars Steinway,102.1418439716312
Morningside Heights,113.9878640776699
Elmhurst,86.1358024691358
Jamaica,103.7432098765432
South Slope,154.6951871657754
Nolita,240.02964959568735
East Elmhurst,111.07100591715977
Canarsie,132.71641791044777
Gowanus,178.46686746987953
Inwood,92.8440366972477
Jackson Heights,84.00940438871473
Tribeca,471.4376996805112
Carroll Gardens,203.88118811881188
Cypress Hills,121.90441176470588
Sheepshead Bay,121.40392156862745
Boerum Hill,205.61506276150627
Kensington,110.11061946902655
Bay Ridge,134.69642857142858
Windsor Terrace,148.31455399061034
Forest Hills,130.41666666666666
Little Italy,205.16326530612244
Brooklyn Heights,220.0204081632653
Maspeth,98.51595744680851
Springfield Gardens,124.51412429378531
Borough Park,77.22093023255815
St. Albans,104.94082840236686
Flatlands,141.63030303030303
Richmond Hill,97.48780487804878
Midwood,91.17088607594937
Woodhaven,76.87820512820512
Rego Park,91.71724137931035
Rosedale,141.65972222222223
Arverne,196.19285714285715
Cobble Hill,227.43410852713177
Fort Hamilton,102.80952380952381
Flatiron District,345.8888888888889
Downtown Brooklyn,172.92
Brownsville,116.34959349593495
Ozone Park,94.95121951219512
Queens Village,109.98290598290598
Brighton Beach,128.64912280701753
Corona,71.61946902654867
Battery Park City,437.0973451327434
Bensonhurst,92.16071428571429
Gravesend,95.5
Kingsbridge,86.77981651376147
Red Hook,158.57009345794393
Mott Haven,113.4952380952381
Wakefield,94.97115384615384
Rockaway Beach,138.15686274509804
Fordham,73.46464646464646
Roosevelt Island,147.15463917525773
Longwood,202.65625
Glendale,105.7578947368421
NoHo,318.10752688172045
Two Bridges,128.52747252747253
Port Morris,106.1264367816092
Concourse,93.08536585365853
St. George,114.76829268292683
South Ozone Park,129.5731707317073
Briarwood,124.87654320987654
Tompkinsville,97.44303797468355
Allerton,94.94871794871794
Williamsbridge,95.03896103896103
Cambria Heights,116.14666666666666
Far Rockaway,145.7972972972973
Bayside,169.01408450704224
Claremont Village,102.82608695652173
Stuyvesant Town,204.24242424242425
Laurelton,109.72131147540983
Norwood,87.48275862068965
Civic Center,203.71929824561403
Pelham Gardens,101.28070175438596
Concourse Village,102.5
DUMBO,219.92727272727274
Clason Point,109.16666666666667
Throgs Neck,109.39622641509433
College Point,123.50943396226415
Vinegar Hill,219.07692307692307
Parkchester,72.90384615384616
Kew Gardens,86.23529411764706
Mount Hope,90.62745098039215
Belmont,88.76
Columbia St,176.88
Middle Village,142.24489795918367
Howard Beach,138.20408163265307
Fresh Meadows,107.02083333333333
Morris Park,99.45454545454545
Highbridge,73.02325581395348
Jamaica Estates,142.9512195121951
Stapleton,110.2439024390244
West Brighton,82.0
Hunts Point,52.02564102564103
